instanceName,algorithmName,runsCount,avgObjective,minObjective,maxObjective
TSPB,GC+P2D,100,14970.01,14152,16103
TSPB,GreedyLS_RandomStart_SWAP_VERTICES,100,-779.68,-13713,14842
TSPB,GreedyLS_RandomStart_SWAP_EDGES,100,17216.29,9279,19217
TSPB,GreedyLS_BestStart_SWAP_VERTICES,100,15460.66,14651,16448
TSPB,GreedyLS_BestStart_SWAP_EDGES,100,16273.76,15169,17558
TSPB,SteepestLS_RandomStart_SWAP_VERTICES,100,3395.23,-16154,17637
TSPB,SteepestLS_RandomStart_SWAP_EDGES,100,16063.5,433,19028
TSPB,SteepestLS_BestStart_SWAP_VERTICES,100,15462.05,14651,16448
TSPB,SteepestLS_BestStart_SWAP_EDGES,100,16187.04,15151,17262
TSPB,RandomWalk_RandomStart_SWAP_VERTICES,100,-123563.46,-253678,-3972
TSPB,RandomWalk_RandomStart_SWAP_EDGES,100,-124480.46,-255333,-3972
